"","Year","Month","Alabama","Alaska","Arizona","Arkansas","California","Los Angeles County","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","New York city","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",2020,1,2.7,5,4.8,3.7,4.2,4.8,2.7,3.7,4.3,4.9,3.3,3.3,2,2.6,3.5,3.2,2.8,3.1,4.1,5.1,3,3.4,2.8,3.7,3.2,5.6,3.6,3.7,2.9,3.7,2.6,3.7,5.1,3.8,3.6,3.5,2.2,4.5,3.1,3.4,4.8,3.8,2.6,2.9,3.7,3.6,2.4,2.5,2.5,4,5,3.3,4.4
"2",2020,2,2.6,5.1,4.9,3.8,4.3,5,2.8,3.7,4.5,5,3.3,3.5,2.1,2.6,3.6,3.2,2.9,3.2,4.2,5.2,3.1,3.5,2.8,3.7,3.3,5.8,3.6,3.7,3,3.7,2.6,3.7,5.3,3.9,3.7,3.6,2.3,4.7,3.1,3.5,5,4,2.8,2.9,3.9,3.7,2.5,2.5,2.5,4.1,5.1,3.3,4.8
"3",2020,3,2.6,5.1,5,3.9,4.5,5.4,4.7,3.8,4.8,5.2,4.9,3.6,2.1,2.7,3.7,3.3,2.9,3.2,4.2,5.3,3.1,3.5,2.7,3.7,3.5,6,3.7,3.8,3.1,6.4,2.7,3.8,5.4,3.9,3.8,3.9,2.3,4.9,3.2,3.6,5.1,4,3,2.9,4,4.9,2.5,2.6,2.6,5.3,5.3,3.2,5.1
"4",2020,4,13.2,11.8,14.2,10,16,18.3,12.1,8.6,13.4,11.1,14,12.5,21.9,11.6,16.5,16.9,11.1,12.6,16.9,13.1,9.1,9,16.4,23.6,9,15.7,12.5,11.9,7.4,29.5,16,16.6,10,16.2,15.6,13.5,8.7,16.4,13,13.2,16.2,17.4,11.5,9.2,15.8,12.9,10.1,14.8,11.3,16.3,15.6,14.8,5.5
"5",2020,5,7.9,11.6,10.6,8.5,15.6,18.8,11.6,11.4,13.3,8.9,14.2,9.4,21.9,8.3,15.4,12,8.3,9,10.9,13.1,8.3,9,15.3,20.8,11.3,11,9.6,9.1,5.4,24.5,13.4,16.5,10,15.7,20,13.5,8.7,14.9,9.5,11.7,13.5,12.9,11.5,7,9.6,11.6,7.6,9.3,8.5,12.5,11.9,10.4,8.5
"6",2020,6,7.7,11.3,10.7,7.8,14.1,17.9,11.3,11.4,12.9,8.9,11.6,8.4,14.1,7,14.2,10.1,7.1,7,5.7,9.4,5.3,8.6,14.8,14.1,8.9,9.6,8.1,7.6,6.6,15.4,10.3,16.3,9.8,15,18.8,8.8,6.2,10.3,8.2,10.3,13.3,10.9,7.7,6.1,9.3,10.2,6.3,7.7,8.8,10.8,10.5,8.6,7.4
"7",2020,7,7.4,11,10.4,7.1,13.2,17.5,7.4,11.3,8.3,8.9,11.5,7.6,14.1,5.9,12,8.6,6.1,6.6,5.6,9.1,8.8,8.7,9.8,9,7.6,8.5,6.8,6.6,4.4,16.6,8.1,13.1,12.5,14.7,18.5,8.8,6.2,9.3,7.2,9.6,13,14,7.6,5.4,8.9,9.3,5.4,6.4,7.9,10.8,9.4,7.2,6.8
"8",2020,8,7.1,7.2,7,6.5,12.3,17.2,7.1,8.4,7.9,8.8,7.9,7,14.1,4.9,11.1,7.3,5.3,6.2,5.5,8.2,5.2,8.6,9.3,8.5,6.6,7.8,6,5.8,4,14.5,6.6,11,9.3,11.7,14.8,6.8,6.1,9,6.3,8.4,10.2,12.6,5.4,4.7,8.1,6.9,4.8,5.4,7,9.1,8.5,6.1,6.2
"9",2020,9,6.7,7,6.9,5.9,10.6,13,7,8.3,7.6,8.7,7.2,6.5,14.8,6,10.4,6.3,4.7,6.1,5.5,8,4.9,7,8.9,8.2,5.8,7.2,5.4,5.2,3.8,13,5.5,7.8,8.6,10,14.7,7.3,4.7,7.4,5.7,7.5,7.1,10.9,5.4,4,7.9,7.9,4.2,4.6,6.6,8,7.9,5.2,5.7
"10",2020,10,4.7,6.5,6.8,5.6,9.8,12.4,6.9,8.2,5.7,8.8,5.8,5.9,14,4.8,8.1,5.6,4.2,4.7,5.5,7.9,4.8,6.8,8.5,8.1,5.3,6.9,5,4.7,3.6,12,4.7,7.7,8.5,8.7,12,6.8,4.7,5.6,5.2,7,7,7.3,5.4,3.7,7.8,7.3,3.8,4,6.1,7,7.4,4.8,5.4
