"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"State","Alaska","Alabama","Arkansas","Arizona","California","Colorado","Connecticut","District of Columbia","Delaware","Florida","Georgia","Hawaii","Iowa","Idaho","Illinois","Indiana","Kansas","Kentucky","Louisiana","Massachusetts","Maryland","Maine","Michigan","Minnesota","Missouri","Mississippi","Montana","North Carolina","North Dakota","Nebraska","New Hampshire","New Jersey","New Mexico","Nevada","New York","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Virginia","Vermont","Washington","Wisconsin","West Virginia","Wyoming"
"Pop","  724357"," 4934190"," 3033950"," 7520100","39613500"," 5893630"," 3552820","  714153","  990334","21944600","10830000"," 1406430"," 3167970"," 1860120","12569300"," 6805660"," 2917220"," 4480710"," 4627000"," 6912240"," 6065440"," 1354520"," 9992430"," 5706400"," 6169040"," 2966410"," 1085000","10701000","  770026"," 1952000"," 1372200"," 8874520"," 2105000"," 3185790","19300000","11714600"," 3990440"," 4289440","12804100"," 1061510"," 5277830","  896581"," 6944260","29730300"," 3310770"," 8603980","  623251"," 7796940"," 5852490"," 1767860","  581075"
